Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Full_Loan_Amount,Monthly_Payment,Debt_To_Income_Ratio,Gender_N,Married_N,Self_Employed_N,Education_N,Loan_Status_N
Male,Yes,2,Not Graduate,No,1993,1625.0,113,180,1,Semiurban,Y,3618.0,113000,627.78,17.35,1,1,0,0,1
Male,Yes,2,Graduate,No,3100,1400.0,113,360,1,Urban,Y,4500.0,113000,313.89,6.98,1,1,0,1,1
Male,Yes,1,Not Graduate,No,2653,1500.0,113,180,0,Rural,N,4153.0,113000,627.78,15.12,1,1,0,0,0
Male,Yes,4,Not Graduate,No,3095,0.0,113,360,1,Rural,Y,3095.0,113000,313.89,10.14,1,1,0,0,1
Female,No,0,Graduate,No,645,3683.0,113,480,1,Rural,Y,4328.0,113000,235.42,5.44,0,0,0,1,1
Female,Yes,2,Graduate,No,2031,1632.0,113,480,1,Semiurban,Y,3663.0,113000,235.42,6.43,0,1,0,1,1
Male,No,0,Graduate,No,1853,2840.0,114,360,1,Rural,N,4693.0,114000,316.67,6.75,1,0,0,1,0
Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban,Y,5167.0,114000,316.67,6.13,1,1,0,1,1
Male,Yes,0,Graduate,No,2600,3500.0,115,120,1,Urban,Y,6100.0,115000,958.33,15.71,1,1,0,1,1
Male,Yes,0,Not Graduate,No,4188,0.0,115,180,1,Semiurban,Y,4188.0,115000,638.89,15.26,1,1,0,0,1
Male,No,0,Not Graduate,No,6045,0.0,115,360,0,Rural,N,6045.0,115000,319.44,5.28,1,0,0,0,0
Male,Yes,1,Graduate,No,2750,1842.0,115,360,1,Semiurban,Y,4592.0,115000,319.44,6.96,1,1,0,1,1
Female,No,0,Graduate,No,4124,0.0,115,360,1,Semiurban,Y,4124.0,115000,319.44,7.75,0,0,0,1,1
Male,Yes,0,Graduate,No,2400,2167.0,115,360,1,Semiurban,Y,4567.0,115000,319.44,6.99,1,1,0,1,1
Female,No,0,Graduate,No,4547,0.0,115,360,1,Semiurban,Y,4547.0,115000,319.44,7.03,0,0,0,1,1
Male,Yes,0,Not Graduate,No,2167,2400.0,115,360,1,Urban,Y,4567.0,115000,319.44,6.99,1,1,0,0,1
Male,Yes,0,Not Graduate,No,2600,1911.0,116,360,0,Semiurban,N,4511.0,116000,322.22,7.14,1,1,0,0,0
Female,No,0,Graduate,No,4166,0.0,116,360,0,Semiurban,N,4166.0,116000,322.22,7.73,0,0,0,1,0
Male,Yes,0,Graduate,No,3497,1964.0,116,360,1,Rural,Y,5461.0,116000,322.22,5.9,1,1,0,1,1
Male,Yes,1,Graduate,No,3750,0.0,116,360,1,Semiurban,Y,3750.0,116000,322.22,8.59,1,1,0,1,1
Male,Yes,2,Graduate,No,4009,1717.0,116,360,1,Semiurban,Y,5726.0,116000,322.22,5.63,1,1,0,1,1
Female,No,0,Graduate,No,3813,0.0,116,180,1,Urban,Y,3813.0,116000,644.44,16.9,0,0,0,1,1
Male,No,1,Graduate,No,4384,1793.0,117,360,1,Urban,Y,6177.0,117000,325.0,5.26,1,0,0,1,1
Male,No,0,Graduate,No,5050,0.0,118,360,1,Semiurban,Y,5050.0,118000,327.78,6.49,1,0,0,1,1
Male,No,0,Graduate,No,6277,0.0,118,360,0,Rural,N,6277.0,118000,327.78,5.22,1,0,0,1,0
Male,Yes,0,Graduate,No,4301,0.0,118,360,1,Urban,Y,4301.0,118000,327.78,7.62,1,1,0,1,1
Male,Yes,0,Graduate,No,3597,2157.0,119,360,0,Rural,N,5754.0,119000,330.56,5.74,1,1,0,1,0
Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban,Y,4941.0,120000,333.33,6.75,1,1,0,0,1
Female,No,2,Graduate,No,3750,2083.0,120,360,1,Semiurban,Y,5833.0,120000,333.33,5.71,0,0,0,1,1
Female,Yes,0,Graduate,No,2645,3440.0,120,360,0,Urban,N,6085.0,120000,333.33,5.48,0,1,0,1,0
Female,No,0,Graduate,No,3086,0.0,120,360,1,Semiurban,Y,3086.0,120000,333.33,10.8,0,0,0,1,1
Male,Yes,0,Graduate,No,2500,3796.0,120,360,1,Urban,Y,6296.0,120000,333.33,5.29,1,1,0,1,1
Male,No,0,Not Graduate,Yes,7333,0.0,120,360,1,Rural,N,7333.0,120000,333.33,4.55,1,0,1,0,0
Male,No,0,Graduate,No,2980,2083.0,120,360,1,Rural,Y,5063.0,120000,333.33,6.58,1,0,0,1,1
Male,Yes,0,Graduate,Yes,39147,4750.0,120,360,1,Semiurban,Y,43897.0,120000,333.33,0.76,1,1,1,1,1
Male,No,0,Graduate,No,4191,0.0,120,360,1,Rural,Y,4191.0,120000,333.33,7.95,1,0,0,1,1
Female,No,0,Not Graduate,No,1907,2365.0,120,120,1,Urban,Y,4272.0,120000,1000.0,23.41,0,0,0,0,1
Female,No,0,Not Graduate,No,4408,0.0,120,360,1,Semiurban,Y,4408.0,120000,333.33,7.56,0,0,0,0,1
Male,No,0,Not Graduate,No,3189,2598.0,120,120,1,Rural,Y,5787.0,120000,1000.0,17.28,1,0,0,0,1
Male,Yes,2,Graduate,No,5819,5000.0,120,360,1,Rural,Y,10819.0,120000,333.33,3.08,1,1,0,1,1
Male,No,0,Graduate,Yes,6050,4333.0,120,180,1,Urban,N,10383.0,120000,666.67,6.42,1,0,1,1,0
Female,No,0,Graduate,No,7200,0.0,120,360,1,Rural,Y,7200.0,120000,333.33,4.63,0,0,0,1,1
Male,Yes,0,Graduate,No,3704,2000.0,120,360,1,Rural,Y,5704.0,120000,333.33,5.84,1,1,0,1,1
Male,Yes,2,Graduate,No,3717,0.0,120,360,1,Semiurban,Y,3717.0,120000,333.33,8.97,1,1,0,1,1
Male,Yes,0,Graduate,No,4817,923.0,120,180,1,Urban,Y,5740.0,120000,666.67,11.61,1,1,0,1,1
Male,Yes,0,Graduate,No,2583,2115.0,120,360,1,Urban,Y,4698.0,120000,333.33,7.1,1,1,0,1,1
Male,Yes,0,Not Graduate,No,4467,0.0,120,360,1,Rural,Y,4467.0,120000,333.33,7.46,1,1,0,0,1
Male,Yes,1,Graduate,No,3089,1280.0,121,360,0,Semiurban,N,4369.0,121000,336.11,7.69,1,1,0,1,0
Male,Yes,0,Graduate,No,2666,4300.0,121,360,1,Rural,Y,6966.0,121000,336.11,4.83,1,1,0,1,1
Male,Yes,0,Graduate,No,2799,2253.0,122,360,1,Semiurban,Y,5052.0,122000,338.89,6.71,1,1,0,1,1
Male,No,0,Graduate,No,4133,0.0,122,360,1,Semiurban,Y,4133.0,122000,338.89,8.2,1,0,0,1,1
Male,Yes,0,Graduate,No,2698,2034.0,122,360,1,Semiurban,Y,4732.0,122000,338.89,7.16,1,1,0,1,1
Female,No,0,Graduate,Yes,3463,0.0,122,360,1,Urban,Y,3463.0,122000,338.89,9.79,0,0,1,1,1
Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban,Y,7823.0,123000,341.67,4.37,1,1,0,0,1
Male,Yes,1,Graduate,No,2882,1843.0,123,480,1,Semiurban,Y,4725.0,123000,256.25,5.42,1,1,0,1,1
Male,Yes,2,Not Graduate,No,3074,1800.0,123,360,0,Semiurban,N,4874.0,123000,341.67,7.01,1,1,0,0,0
Male,Yes,4,Graduate,No,3400,2500.0,123,360,0,Rural,N,5900.0,123000,341.67,5.79,1,1,0,1,0
Male,Yes,2,Not Graduate,No,3917,0.0,124,360,1,Semiurban,Y,3917.0,124000,344.44,8.79,1,1,0,0,1
Female,Yes,0,Not Graduate,No,4100,0.0,124,360,1,Rural,Y,4100.0,124000,344.44,8.4,0,1,0,0,1
Male,Yes,4,Graduate,No,4342,189.0,124,360,1,Semiurban,Y,4531.0,124000,344.44,7.6,1,1,0,1,1
Male,No,0,Graduate,No,5124,0.0,124,360,0,Rural,N,5124.0,124000,344.44,6.72,1,0,0,1,0
Male,Yes,0,Not Graduate,No,3814,1483.0,124,300,1,Semiurban,Y,5297.0,124000,413.33,7.8,1,1,0,0,1
Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban,Y,4950.0,125000,347.22,7.01,1,0,0,1,1
Male,Yes,4,Not Graduate,Yes,7100,0.0,125,60,1,Urban,Y,7100.0,125000,2083.33,29.34,1,1,1,0,1
Male,Yes,0,Graduate,No,4860,830.0,125,360,1,Semiurban,Y,5690.0,125000,347.22,6.1,1,1,0,1,1
Male,Yes,2,Graduate,No,2583,2330.0,125,360,1,Rural,Y,4913.0,125000,347.22,7.07,1,1,0,1,1
Male,Yes,0,Graduate,No,5488,0.0,125,360,1,Rural,Y,5488.0,125000,347.22,6.33,1,1,0,1,1
Male,Yes,2,Not Graduate,No,2309,1255.0,125,360,0,Rural,N,3564.0,125000,347.22,9.74,1,1,0,0,0
Female,No,0,Not Graduate,Yes,18165,0.0,125,360,1,Urban,Y,18165.0,125000,347.22,1.91,0,0,1,0,1
Male,No,0,Not Graduate,No,3200,2254.0,126,180,0,Urban,N,5454.0,126000,700.0,12.83,1,0,0,0,0
Male,No,0,Graduate,No,2833,1857.0,126,360,1,Rural,Y,4690.0,126000,350.0,7.46,1,0,0,1,1
Male,Yes,2,Not Graduate,No,3083,2168.0,126,360,1,Urban,Y,5251.0,126000,350.0,6.67,1,1,0,0,1
Male,No,0,Not Graduate,Yes,2550,2042.0,126,360,1,Rural,Y,4592.0,126000,350.0,7.62,1,0,1,0,1
Male,No,0,Graduate,No,3418,0.0,127,360,1,Semiurban,N,3418.0,127000,352.78,10.32,1,0,0,1,0
Female,Yes,2,Graduate,No,4283,2383.0,127,360,1,Semiurban,Y,6666.0,127000,352.78,5.29,0,1,0,1,1
Male,Yes,2,Graduate,No,4400,0.0,127,360,0,Semiurban,N,4400.0,127000,352.78,8.02,1,1,0,1,0
Male,Yes,1,Graduate,No,4583,1508.0,128,360,1,Rural,N,6091.0,128000,355.56,5.84,1,1,0,1,0
Male,Yes,4,Graduate,No,3430,1250.0,128,360,0,Semiurban,N,4680.0,128000,355.56,7.6,1,1,0,1,0
Male,Yes,0,Graduate,No,6250,0.0,128,360,1,Semiurban,Y,6250.0,128000,355.56,5.69,1,1,0,1,1
Male,Yes,4,Not Graduate,No,4931,0.0,128,360,1,Semiurban,N,4931.0,128000,355.56,7.21,1,1,0,0,0
Male,No,0,Graduate,Yes,5166,0.0,128,360,1,Semiurban,Y,5166.0,128000,355.56,6.88,1,0,1,1,1
Male,Yes,0,Graduate,No,3333,2500.0,128,360,1,Semiurban,Y,5833.0,128000,355.56,6.1,1,1,0,1,1
Male,No,0,Graduate,Yes,7167,0.0,128,360,1,Urban,Y,7167.0,128000,355.56,4.96,1,0,1,1,1
Male,Yes,4,Graduate,No,7740,0.0,128,180,1,Urban,Y,7740.0,128000,711.11,9.19,1,1,0,1,1
Male,Yes,0,Graduate,No,2083,3150.0,128,360,1,Semiurban,Y,5233.0,128000,355.56,6.79,1,1,0,1,1
Male,Yes,1,Not Graduate,No,2239,2524.0,128,360,1,Urban,Y,4763.0,128000,355.56,7.47,1,1,0,0,1
Male,Yes,4,Graduate,No,5703,0.0,128,360,1,Urban,Y,5703.0,128000,355.56,6.23,1,1,0,1,1
Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural,N,5630.0,129000,358.33,6.36,1,1,0,0,0
Male,Yes,0,Graduate,No,2439,3333.0,129,360,1,Rural,Y,5772.0,129000,358.33,6.21,1,1,0,1,1
Male,Yes,4,Not Graduate,Yes,3333,2166.0,130,360,1,Semiurban,Y,5499.0,130000,361.11,6.57,1,1,1,0,1
Male,Yes,4,Not Graduate,Yes,5703,0.0,130,360,1,Rural,Y,5703.0,130000,361.11,6.33,1,1,1,0,1
Male,No,0,Graduate,No,4917,0.0,130,360,0,Rural,Y,4917.0,130000,361.11,7.34,1,0,0,1,1
Female,Yes,0,Graduate,No,2423,505.0,130,360,1,Semiurban,Y,2928.0,130000,361.11,12.33,0,1,0,1,1
Male,Yes,0,Graduate,No,4750,2333.0,130,360,1,Urban,Y,7083.0,130000,361.11,5.1,1,1,0,1,1
Male,Yes,4,Graduate,No,8750,4996.0,130,360,1,Rural,Y,13746.0,130000,361.11,2.63,1,1,0,1,1
Male,Yes,0,Graduate,No,4310,0.0,130,360,1,Semiurban,Y,4310.0,130000,361.11,8.38,1,1,0,1,1
Male,Yes,2,Graduate,No,5391,0.0,130,360,1,Urban,Y,5391.0,130000,361.11,6.7,1,1,0,1,1
Male,Yes,1,Graduate,Yes,3466,1210.0,130,360,1,Rural,Y,4676.0,130000,361.11,7.72,1,1,1,1,1
Male,No,0,Not Graduate,No,6783,0.0,130,360,1,Semiurban,Y,6783.0,130000,361.11,5.32,1,0,0,0,1
Male,Yes,0,Graduate,No,2958,2900.0,131,360,1,Semiurban,Y,5858.0,131000,363.89,6.21,1,1,0,1,1
Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban,Y,5300.0,131000,363.89,6.87,1,1,0,1,1
Male,Yes,0,Graduate,No,3727,1775.0,131,360,1,Semiurban,Y,5502.0,131000,363.89,6.61,1,1,0,1,1
Male,Yes,1,Not Graduate,No,1958,2436.0,131,360,1,Rural,Y,4394.0,131000,363.89,8.28,1,1,0,0,1
Female,No,0,Graduate,No,5000,0.0,132,360,1,Rural,Y,5000.0,132000,366.67,7.33,0,0,0,1,1
Female,No,0,Graduate,No,3166,2985.0,132,360,1,Rural,Y,6151.0,132000,366.67,5.96,0,0,0,1,1
Male,No,0,Not Graduate,No,2346,1600.0,132,360,1,Semiurban,Y,3946.0,132000,366.67,9.29,1,0,0,0,1
Female,No,1,Not Graduate,Yes,5191,0.0,132,360,1,Semiurban,Y,5191.0,132000,366.67,7.06,0,0,1,0,1
Male,Yes,2,Graduate,No,2873,1872.0,132,360,0,Semiurban,N,4745.0,132000,366.67,7.73,1,1,0,1,0
Male,Yes,0,Graduate,No,3593,4266.0,132,180,0,Rural,N,7859.0,132000,733.33,9.33,1,1,0,1,0
Male,No,0,Not Graduate,Yes,5800,0.0,132,360,1,Semiurban,Y,5800.0,132000,366.67,6.32,1,0,1,0,1
Male,Yes,0,Not Graduate,No,4887,0.0,133,360,1,Rural,N,4887.0,133000,369.44,7.56,1,1,0,0,0
Male,Yes,2,Not Graduate,No,4288,3263.0,133,180,1,Urban,Y,7551.0,133000,738.89,9.79,1,1,0,0,1
Male,No,0,Not Graduate,No,6216,0.0,133,360,1,Rural,N,6216.0,133000,369.44,5.94,1,0,0,0,0
Male,Yes,2,Graduate,No,5935,0.0,133,360,1,Semiurban,Y,5935.0,133000,369.44,6.22,1,1,0,1,1
Female,No,0,Graduate,Yes,4583,0.0,133,360,0,Semiurban,N,4583.0,133000,369.44,8.06,0,0,1,1,0
Male,Yes,0,Graduate,No,3941,2336.0,134,360,1,Semiurban,Y,6277.0,134000,372.22,5.93,1,1,0,1,1
Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban,N,4616.0,134000,372.22,8.06,1,1,0,1,0
Male,No,0,Graduate,No,2060,2209.0,134,360,1,Semiurban,Y,4269.0,134000,372.22,8.72,1,0,0,1,1
Male,Yes,2,Graduate,No,3153,1560.0,134,360,1,Urban,Y,4713.0,134000,372.22,7.9,1,1,0,1,1
Male,Yes,0,Graduate,No,3366,2200.0,135,360,1,Rural,N,5566.0,135000,375.0,6.74,1,1,0,1,0
Male,Yes,1,Not Graduate,No,3500,1083.0,135,360,1,Urban,Y,4583.0,135000,375.0,8.18,1,1,0,0,1
Male,Yes,0,Graduate,No,150,1800.0,135,360,1,Rural,N,1950.0,135000,375.0,19.23,1,1,0,1,0
Female,No,0,Graduate,Yes,3418,0.0,135,360,1,Rural,N,3418.0,135000,375.0,10.97,0,0,1,1,0
Female,Yes,1,Graduate,No,4666,0.0,135,360,1,Urban,Y,4666.0,135000,375.0,8.04,0,1,0,1,1
Female,No,0,Graduate,No,3762,1666.0,135,360,1,Rural,Y,5428.0,135000,375.0,6.91,0,0,0,1,1
Male,Yes,2,Graduate,No,3276,484.0,135,360,1,Semiurban,Y,3760.0,135000,375.0,9.97,1,1,0,1,1
Female,No,0,Graduate,No,4300,0.0,136,360,0,Semiurban,N,4300.0,136000,377.78,8.79,0,0,0,1,0
Male,No,0,Graduate,No,2366,2531.0,136,360,1,Semiurban,Y,4897.0,136000,377.78,7.71,1,0,0,1,1
Male,No,0,Graduate,No,5316,0.0,136,360,1,Urban,Y,5316.0,136000,377.78,7.11,1,0,0,1,1
Male,Yes,0,Graduate,No,11146,0.0,136,360,1,Urban,Y,11146.0,136000,377.78,3.39,1,1,0,1,1
Male,Yes,0,Graduate,No,2333,2417.0,136,360,1,Urban,Y,4750.0,136000,377.78,7.95,1,1,0,1,1
Male,No,2,Graduate,No,4354,0.0,136,360,1,Rural,Y,4354.0,136000,377.78,8.68,1,0,0,1,1
Male,Yes,0,Graduate,No,3087,2210.0,136,360,0,Semiurban,N,5297.0,136000,377.78,7.13,1,1,0,1,0
Female,Yes,0,Graduate,No,2484,2302.0,137,360,1,Semiurban,Y,4786.0,137000,380.56,7.95,0,1,0,1,1
Female,No,0,Graduate,No,2137,8980.0,137,360,0,Semiurban,Y,11117.0,137000,380.56,3.42,0,0,0,1,1
Male,Yes,0,Graduate,No,3173,3021.0,137,360,1,Urban,Y,6194.0,137000,380.56,6.14,1,1,0,1,1
Male,Yes,1,Not Graduate,No,6608,0.0,137,180,1,Urban,Y,6608.0,137000,761.11,11.52,1,1,0,0,1
Male,Yes,2,Not Graduate,Yes,4735,0.0,138,360,1,Urban,N,4735.0,138000,383.33,8.1,1,1,1,0,0
Female,No,2,Graduate,No,3427,0.0,138,360,1,Urban,N,3427.0,138000,383.33,11.19,0,0,0,1,0
Male,Yes,0,Graduate,No,3246,1417.0,138,360,1,Semiurban,Y,4663.0,138000,383.33,8.22,1,1,0,1,1
Male,Yes,0,Graduate,No,5829,0.0,138,360,1,Rural,Y,5829.0,138000,383.33,6.58,1,1,0,1,1
Female,Yes,0,Not Graduate,Yes,7142,0.0,138,360,1,Rural,Y,7142.0,138000,383.33,5.37,0,1,1,0,1
Male,Yes,1,Not Graduate,No,4050,5302.0,138,360,1,Rural,N,9352.0,138000,383.33,4.1,1,1,0,0,0
Female,Yes,0,Graduate,Yes,2929,2333.0,139,360,1,Semiurban,Y,5262.0,139000,386.11,7.34,0,1,1,1,1
Male,Yes,0,Graduate,No,3075,2416.0,139,360,1,Rural,Y,5491.0,139000,386.11,7.03,1,1,0,1,1
Male,Yes,1,Graduate,No,3155,1779.0,140,360,1,Semiurban,Y,4934.0,140000,388.89,7.88,1,1,0,1,1
Male,Yes,1,Not Graduate,No,2510,1983.0,140,180,1,Urban,N,4493.0,140000,777.78,17.31,1,1,0,0,0
Male,No,0,Graduate,No,4000,2500.0,140,360,1,Rural,Y,6500.0,140000,388.89,5.98,1,0,0,1,1
Male,No,0,Graduate,No,6000,0.0,140,360,1,Rural,Y,6000.0,140000,388.89,6.48,1,0,0,1,1
Female,Yes,1,Graduate,No,4608,2845.0,140,180,1,Semiurban,Y,7453.0,140000,777.78,10.44,0,1,0,1,1
Male,No,0,Graduate,No,6000,0.0,141,360,1,Urban,Y,6000.0,141000,391.67,6.53,1,0,0,1,1
Male,No,0,Graduate,Yes,6822,0.0,141,360,1,Rural,Y,6822.0,141000,391.67,5.74,1,0,1,1,1
Male,Yes,0,Graduate,No,3859,3300.0,142,180,1,Rural,Y,7159.0,142000,788.89,11.02,1,1,0,1,1
Female,No,0,Graduate,No,5417,0.0,143,480,0,Urban,N,5417.0,143000,297.92,5.5,0,0,0,1,0
Male,Yes,0,Graduate,No,2425,2340.0,143,360,1,Semiurban,Y,4765.0,143000,397.22,8.34,1,1,0,1,1
Female,Yes,0,Graduate,No,3667,1459.0,144,360,1,Semiurban,Y,5126.0,144000,400.0,7.8,0,1,0,1,1
Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban,Y,5821.0,144000,400.0,6.87,1,1,0,1,1
Female,No,0,Graduate,No,4000,2275.0,144,360,1,Semiurban,Y,6275.0,144000,400.0,6.37,0,0,0,1,1
Male,Yes,2,Not Graduate,No,3357,2859.0,144,360,1,Urban,Y,6216.0,144000,400.0,6.44,1,1,0,0,1
Male,No,0,Graduate,No,2971,2791.0,144,360,1,Semiurban,Y,5762.0,144000,400.0,6.94,1,0,0,1,1
Male,Yes,2,Graduate,Yes,5746,0.0,144,84,1,Rural,Y,5746.0,144000,1714.29,29.83,1,1,1,1,1
Male,No,0,Graduate,No,2526,1783.0,145,360,1,Rural,Y,4309.0,145000,402.78,9.35,1,0,0,1,1
Male,Yes,1,Graduate,No,2787,1917.0,146,360,0,Rural,N,4704.0,146000,405.56,8.62,1,1,0,1,0
Male,No,4,Not Graduate,No,4707,1993.0,148,360,1,Semiurban,Y,6700.0,148000,411.11,6.14,1,0,0,0,1
Male,Yes,2,Graduate,No,3283,2035.0,148,360,1,Urban,Y,5318.0,148000,411.11,7.73,1,1,0,1,1
Male,Yes,0,Graduate,No,3948,1733.0,149,360,0,Rural,N,5681.0,149000,413.89,7.29,1,1,0,1,0
Male,Yes,2,Graduate,No,4708,1387.0,150,360,1,Semiurban,Y,6095.0,150000,416.67,6.84,1,1,0,1,1
Male,Yes,0,Graduate,No,2620,2223.0,150,360,1,Semiurban,Y,4843.0,150000,416.67,8.6,1,1,0,1,1
Female,No,1,Graduate,Yes,8624,0.0,150,360,1,Semiurban,Y,8624.0,150000,416.67,4.83,0,0,1,1,1
Male,Yes,2,Graduate,No,3340,1710.0,150,360,0,Rural,N,5050.0,150000,416.67,8.25,1,1,0,1,0
Male,Yes,2,Graduate,Yes,16525,1014.0,150,360,1,Rural,Y,17539.0,150000,416.67,2.38,1,1,1,1,1
Male,Yes,4,Graduate,No,3466,3428.0,150,360,1,Rural,Y,6894.0,150000,416.67,6.04,1,1,0,1,1
Male,Yes,4,Graduate,No,6406,0.0,150,360,1,Semiurban,N,6406.0,150000,416.67,6.5,1,1,0,1,0
Male,Yes,1,Graduate,Yes,3717,2925.0,151,360,1,Semiurban,N,6642.0,151000,419.44,6.31,1,1,1,1,0
Male,No,0,Graduate,No,4843,3806.0,151,360,1,Semiurban,Y,8649.0,151000,419.44,4.85,1,0,0,1,1
Male,No,0,Graduate,No,4095,3447.0,151,360,1,Rural,Y,7542.0,151000,419.44,5.56,1,0,0,1,1
Female,No,0,Graduate,No,5000,2541.0,151,480,1,Rural,N,7541.0,151000,314.58,4.17,0,0,0,1,0
Male,Yes,0,Not Graduate,No,3572,4114.0,152,360,0,Rural,N,7686.0,152000,422.22,5.49,1,1,0,0,0
Male,Yes,0,Graduate,Yes,2577,3750.0,152,360,1,Rural,Y,6327.0,152000,422.22,6.67,1,1,1,1,1
Male,Yes,2,Not Graduate,No,3523,3230.0,152,360,0,Rural,N,6753.0,152000,422.22,6.25,1,1,0,0,0
Male,Yes,1,Graduate,No,8300,0.0,152,300,0,Semiurban,N,8300.0,152000,506.67,6.1,1,1,0,1,0
Male,No,1,Graduate,No,37719,0.0,152,360,1,Semiurban,Y,37719.0,152000,422.22,1.12,1,0,0,1,1
Male,Yes,0,Graduate,No,3015,2188.0,153,360,1,Rural,Y,5203.0,153000,425.0,8.17,1,1,0,1,1
Female,Yes,0,Graduate,No,3167,2283.0,154,360,1,Semiurban,Y,5450.0,154000,427.78,7.85,0,1,0,1,1
Female,No,0,Not Graduate,No,4350,0.0,154,360,1,Rural,Y,4350.0,154000,427.78,9.83,0,0,0,0,1
Male,No,0,Graduate,No,2965,5701.0,155,60,1,Urban,Y,8666.0,155000,2583.33,29.81,1,0,0,1,1
Female,No,1,Graduate,No,3481,0.0,155,36,1,Semiurban,N,3481.0,155000,4305.56,123.69,0,0,0,1,0
Male,Yes,1,Graduate,Yes,10000,0.0,155,360,1,Rural,N,10000.0,155000,430.56,4.31,1,1,1,1,0
Male,Yes,2,Graduate,No,5185,0.0,155,360,1,Semiurban,Y,5185.0,155000,430.56,8.3,1,1,0,1,1
Male,Yes,0,Graduate,No,2768,1950.0,155,360,1,Rural,Y,4718.0,155000,430.56,9.13,1,1,0,1,1
Male,Yes,0,Not Graduate,Yes,2894,2792.0,155,360,1,Rural,Y,5686.0,155000,430.56,7.57,1,1,1,0,1
Female,No,0,Graduate,No,6000,0.0,156,360,1,Urban,Y,6000.0,156000,433.33,7.22,0,0,0,1,1
Male,Yes,4,Graduate,No,6417,0.0,157,180,1,Rural,Y,6417.0,157000,872.22,13.59,1,1,0,1,1
Male,Yes,2,Not Graduate,No,3987,1411.0,157,360,1,Rural,Y,5398.0,157000,436.11,8.08,1,1,0,0,1
Male,Yes,4,Graduate,No,3036,2504.0,158,360,0,Semiurban,N,5540.0,158000,438.89,7.92,1,1,0,1,0
Male,Yes,2,Graduate,No,4167,1447.0,158,360,1,Rural,Y,5614.0,158000,438.89,7.82,1,1,0,1,1
Male,No,0,Graduate,No,4758,0.0,158,480,1,Semiurban,Y,4758.0,158000,329.17,6.92,1,0,0,1,1
Male,No,1,Not Graduate,Yes,4053,2426.0,158,360,0,Urban,N,6479.0,158000,438.89,6.77,1,0,1,0,0
Male,Yes,1,Not Graduate,No,4554,1229.0,158,360,1,Urban,Y,5783.0,158000,438.89,7.59,1,1,0,0,1
Male,Yes,1,Graduate,No,3333,3250.0,158,360,1,Urban,Y,6583.0,158000,438.89,6.67,1,1,0,1,1
Male,Yes,0,Graduate,No,2473,1843.0,159,360,1,Rural,N,4316.0,159000,441.67,10.23,1,1,0,1,0
Male,Yes,2,Graduate,No,3816,754.0,160,360,1,Urban,Y,4570.0,160000,444.44,9.73,1,1,0,1,1
Male,Yes,1,Graduate,Yes,10513,3850.0,160,180,0,Urban,N,14363.0,160000,888.89,6.19,1,1,1,1,0
Male,Yes,1,Graduate,No,6000,0.0,160,360,1,Rural,Y,6000.0,160000,444.44,7.41,1,1,0,1,1
Male,Yes,0,Not Graduate,No,6033,0.0,160,360,1,Urban,N,6033.0,160000,444.44,7.37,1,1,0,0,0
Male,Yes,4,Graduate,No,4333,1811.0,160,360,0,Urban,Y,6144.0,160000,444.44,7.23,1,1,0,1,1
Male,Yes,1,Graduate,No,5250,688.0,160,360,1,Rural,Y,5938.0,160000,444.44,7.48,1,1,0,1,1
Male,Yes,0,Graduate,No,2499,2458.0,160,360,1,Semiurban,Y,4957.0,160000,444.44,8.97,1,1,0,1,1
Male,Yes,0,Graduate,No,6256,0.0,160,360,1,Urban,Y,6256.0,160000,444.44,7.1,1,1,0,1,1
Female,No,1,Graduate,No,2600,0.0,160,360,1,Urban,N,2600.0,160000,444.44,17.09,0,0,0,1,0
Male,Yes,0,Graduate,No,8334,0.0,160,360,1,Semiurban,N,8334.0,160000,444.44,5.33,1,1,0,1,0
Male,Yes,0,Graduate,Yes,2083,4083.0,160,360,1,Semiurban,Y,6166.0,160000,444.44,7.21,1,1,1,1,1
Male,Yes,2,Graduate,Yes,4583,2083.0,160,360,1,Semiurban,Y,6666.0,160000,444.44,6.67,1,1,1,1,1
Male,Yes,1,Not Graduate,No,5285,1430.0,161,360,0,Semiurban,Y,6715.0,161000,447.22,6.66,1,1,0,0,1
Male,No,0,Graduate,No,3182,2917.0,161,360,1,Urban,Y,6099.0,161000,447.22,7.33,1,0,0,1,1
Male,Yes,1,Graduate,Yes,3450,2079.0,162,360,1,Semiurban,Y,5529.0,162000,450.0,8.14,1,1,1,1,1
Male,No,2,Graduate,No,5532,4648.0,162,360,1,Rural,Y,10180.0,162000,450.0,4.42,1,0,0,1,1
Male,Yes,0,Graduate,No,3887,2669.0,162,360,1,Semiurban,Y,6556.0,162000,450.0,6.86,1,1,0,1,1
